lga_name,postcode,suburb,crime_id,crime_name,average_incident
Banyule,3084,heidelberg,D20,Disorderly and offensive conduct,18.2
Banyule,3084,heidelberg,D30,Public nuisance offences,3.4444444444444446
Banyule,3084,heidelberg,E10,Justice procedures,37.9
Banyule,3084,heidelberg,F10,Regulatory driving offences,1.0
Banyule,3084,heidelberg,F20,Transport regulation offences,1.0
Banyule,3084,heidelberg,F30,Other government regulatory offences,1.0
Banyule,3084,heidelberg,F90,Miscellaneous offences,12.5
Banyule,3084,heidelberg,Other,crimes against the person,10.8
Banyule,3084,rosanna,A20,Assault and related offences,23.0
Banyule,3084,rosanna,A50,Robbery,1.6666666666666667
Banyule,3084,rosanna,A70,"Stalking, harassment and threatening behaviour",5.4
Banyule,3084,rosanna,A80,Dangerous and negligent acts endangering people,2.1666666666666665
Banyule,3084,rosanna,B10,Arson,1.75
Banyule,3084,rosanna,B20,Property damage,33.7
Banyule,3084,rosanna,B50,Deception,7.8
Banyule,3084,rosanna,C10,Drug dealing and trafficking,2.25
Banyule,3084,rosanna,C20,Cultivate or manufacture drugs,1.6
Banyule,3084,rosanna,C30,Drug use and possession,6.3
Banyule,3084,rosanna,D10,Weapons and explosives offences,3.2222222222222223
Banyule,3084,rosanna,D20,Disorderly and offensive conduct,3.625
Banyule,3084,rosanna,D30,Public nuisance offences,3.5
Banyule,3084,rosanna,E10,Justice procedures,3.8571428571428568
Banyule,3084,rosanna,E20,Breaches of orders,16.8
Banyule,3084,rosanna,F20,Transport regulation offences,1.0
Banyule,3084,rosanna,F90,Miscellaneous offences,11.0
Banyule,3084,rosanna,Other,crimes against the person,5.5
Banyule,3084,viewbank,A20,Assault and related offences,10.2
Banyule,3084,viewbank,A50,Robbery,1.0
Banyule,3084,viewbank,A70,"Stalking, harassment and threatening behaviour",5.1
Banyule,3084,viewbank,A80,Dangerous and negligent acts endangering people,1.5
Banyule,3084,viewbank,B10,Arson,1.3333333333333333
Banyule,3084,viewbank,B20,Property damage,14.7
Banyule,3084,viewbank,B30,Burglary/Break and enter,27.8
Banyule,3084,viewbank,B40,Theft,46.7
Banyule,3084,viewbank,B50,Deception,3.6666666666666665
Banyule,3084,viewbank,C10,Drug dealing and trafficking,1.5
Banyule,3084,viewbank,C20,Cultivate or manufacture drugs,1.25
Banyule,3084,viewbank,C30,Drug use and possession,3.8
Banyule,3084,viewbank,D10,Weapons and explosives offences,3.5
Banyule,3084,viewbank,D20,Disorderly and offensive conduct,2.4285714285714284
Banyule,3084,viewbank,D30,Public nuisance offences,1.8
Banyule,3084,viewbank,E10,Justice procedures,1.5
Banyule,3084,viewbank,E20,Breaches of orders,9.1
Banyule,3084,viewbank,F30,Other government regulatory offences,1.0
Banyule,3084,viewbank,F90,Miscellaneous offences,1.3333333333333333
Banyule,3084,viewbank,Other,crimes against the person,3.333333333333333
Banyule,3085,macleod,A20,Assault and related offences,24.8
Banyule,3085,macleod,A50,Robbery,2.2857142857142856
Banyule,3085,macleod,A70,"Stalking, harassment and threatening behaviour",5.6
Banyule,3085,macleod,A80,Dangerous and negligent acts endangering people,2.2857142857142856
Banyule,3085,macleod,B10,Arson,2.0
Banyule,3085,macleod,B50,Deception,6.7
Banyule,3085,macleod,C10,Drug dealing and trafficking,2.2
Banyule,3085,macleod,C20,Cultivate or manufacture drugs,1.5
Banyule,3085,macleod,C30,Drug use and possession,4.8
Banyule,3085,macleod,D10,Weapons and explosives offences,3.8
Banyule,3085,macleod,D20,Disorderly and offensive conduct,3.8
Banyule,3085,macleod,D30,Public nuisance offences,2.6
Banyule,3085,macleod,E10,Justice procedures,2.7
Banyule,3085,macleod,E20,Breaches of orders,20.8
Banyule,3085,macleod,F20,Transport regulation offences,2.0
Banyule,3085,macleod,F30,Other government regulatory offences,1.0
Banyule,3085,macleod,F90,Miscellaneous offences,4.5
Banyule,3085,macleod,Other,crimes against the person,5.6
Banyule,3085,yallambie,A20,Assault and related offences,10.4
Banyule,3085,yallambie,A50,Robbery,1.3333333333333333
Banyule,3085,yallambie,A70,"Stalking, harassment and threatening behaviour",3.2222222222222223
Banyule,3085,yallambie,A80,Dangerous and negligent acts endangering people,1.7142857142857142
Banyule,3085,yallambie,B10,Arson,1.0
Banyule,3085,yallambie,B20,Property damage,7.1
Banyule,3085,yallambie,B30,Burglary/Break and enter,12.0
Banyule,3085,yallambie,B50,Deception,6.1
Banyule,3085,yallambie,C10,Drug dealing and trafficking,1.2
Banyule,3085,yallambie,C20,Cultivate or manufacture drugs,1.0
Banyule,3085,yallambie,C30,Drug use and possession,1.8
Banyule,3085,yallambie,D10,Weapons and explosives offences,1.875
Banyule,3085,yallambie,D20,Disorderly and offensive conduct,2.1666666666666665
Banyule,3085,yallambie,D30,Public nuisance offences,1.0
Banyule,3085,yallambie,E10,Justice procedures,1.8
Banyule,3085,yallambie,E20,Breaches of orders,7.2
Banyule,3085,yallambie,F90,Miscellaneous offences,18.0
Banyule,3085,yallambie,Other,crimes against the person,2.7142857142857144
Banyule,3087,watsonia,A20,Assault and related offences,27.9
Banyule,3087,watsonia,A50,Robbery,2.8
Banyule,3087,watsonia,A70,"Stalking, harassment and threatening behaviour",7.1
Banyule,3087,watsonia,A80,Dangerous and negligent acts endangering people,3.0
Banyule,3087,watsonia,B10,Arson,3.5
Banyule,3087,watsonia,B20,Property damage,40.0
Banyule,3087,watsonia,B30,Burglary/Break and enter,42.6
Banyule,3087,watsonia,B50,Deception,18.0
Banyule,3087,watsonia,C10,Drug dealing and trafficking,4.125
Banyule,3087,watsonia,C20,Cultivate or manufacture drugs,1.5714285714285714
Banyule,3087,watsonia,C30,Drug use and possession,8.1
Banyule,3087,watsonia,D10,Weapons and explosives offences,7.3
Banyule,3087,watsonia,D20,Disorderly and offensive conduct,4.8
Banyule,3087,watsonia,D30,Public nuisance offences,2.125
Banyule,3087,watsonia,E10,Justice procedures,4.3
Banyule,3087,watsonia,E20,Breaches of orders,27.8
Banyule,3087,watsonia,F20,Transport regulation offences,1.0
Banyule,3087,watsonia,F30,Other government regulatory offences,1.0
Banyule,3087,watsonia,F90,Miscellaneous offences,11.666666666666664
Banyule,3087,watsonia,Other,crimes against the person,5.2
Banyule,3087,watsonia north,A20,Assault and related offences,8.8
Banyule,3087,watsonia north,A50,Robbery,1.2
Banyule,3087,watsonia north,A70,"Stalking, harassment and threatening behaviour",3.2222222222222223
Banyule,3087,watsonia north,A80,Dangerous and negligent acts endangering people,1.0
Banyule,3087,watsonia north,B10,Arson,1.8333333333333333
Banyule,3087,watsonia north,B20,Property damage,10.2
Banyule,3087,watsonia north,B30,Burglary/Break and enter,13.6
