suburb,postcode,state,dc,type,lat,lon,No liquor_store,No police,No park
dallas,3047,VIC,SOMERTON DC,Delivery Area,-37.673333,144.931141,3.0,0.0,16.0
dandenong,3175,VIC,DANDENONG DC,Delivery Area,-37.987271,145.214317,11.0,2.0,14.0
dandenong north,3175,VIC,DANDENONG DC,Delivery Area,-37.965724,145.205645,4.0,0.0,7.0
dandenong south,3175,VIC,DANDENONG DC,Delivery Area,-38.034031,145.20171100000005,1.0,0.0,2.0
deer park,3023,VIC,SUNSHINE DC,Delivery Area,-37.770312,144.77472,1.0,0.0,8.0
delahey,3037,VIC,ST ALBANS DC,Delivery Area,-37.715579,144.780474,2.0,0.0,10.0
derrimut,3030,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.797549,144.771097,0.0,0.0,8.0
diamond creek,3089,VIC,DIAMOND CREEK DC,Delivery Area,-37.642629,145.217595,0.0,0.0,0.0
dingley village,3172,VIC,BRAESIDE DC,Delivery Area,-37.973323,145.11994099999995,0.0,0.0,19.0
docklands,3008,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.814719,144.948039,17.0,7.0,20.0
doncaster,3108,VIC,TEMPLESTOWE DC,Delivery Area,-37.783031,145.122517,4.0,0.0,17.0
doncaster east,3109,VIC,TEMPLESTOWE DC,Delivery Area,-37.811994,145.19474,3.0,0.0,20.0
donvale,3111,VIC,TEMPLESTOWE DC,Delivery Area,-38.183899,144.468019,1.0,0.0,13.0
doveton,3177,VIC,DANDENONG DC,Delivery Area,-37.995245,145.240156,5.0,0.0,10.0
eaglemont,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.762519,145.068208,5.0,1.0,18.0
east melbourne,3002,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.81664,144.98781100000005,12.0,0.0,20.0
edithvale,3196,VIC,BRAESIDE DC,Delivery Area,-38.037415,145.107846,0.0,0.0,8.0
elsternwick,3185,VIC,ST KILDA DC,Delivery Area,-37.884724,145.004153,12.0,0.0,14.0
eltham,3095,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.71383,145.148537,5.0,1.0,17.0
eltham north,3095,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.69401,145.147506,0.0,0.0,15.0
elwood,3184,VIC,ST KILDA DC,Delivery Area,-37.88812100000001,144.985026,2.0,0.0,13.0
emerald,3782,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.932085,145.44073999999995,3.0,1.0,18.0
endeavour hills,3802,VIC,DANDENONG DC,Delivery Area,-37.975281,145.254481,3.0,1.0,14.0
epping,3076,VIC,EPPING DC,Delivery Area,-37.638363,145.009493,0.0,0.0,9.0
essendon,3040,VIC,MOONEE PONDS DC,Delivery Area,-37.754973,144.917407,4.0,0.0,11.0
essendon north,3041,VIC,MOONEE PONDS DC,Delivery Area,-37.744374,144.909853,1.0,0.0,14.0
essendon west,3040,VIC,MOONEE PONDS DC,Delivery Area,-37.753802,144.888271,0.0,0.0,18.0
eumemmerring,3177,VIC,DANDENONG DC,Delivery Area,-37.997711,145.250273,4.0,0.0,12.0
fairfield,3078,VIC,PRESTON DC,Delivery Area,-37.776946,145.018479,10.0,0.0,11.0
fawkner,3060,VIC,PRESTON DC,Delivery Area,-37.759823,144.89571,1.0,0.0,18.0
ferntree gully,3156,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.883019,145.295404,5.0,0.0,11.0
ferny creek,3786,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.881284,145.342274,0.0,0.0,5.0
fitzroy,3065,VIC,FITZROY DC,Delivery Area,-37.800917,144.979165,20.0,1.0,20.0
fitzroy north,3068,VIC,FITZROY DC,Delivery Area,-37.7834,144.98468799999995,18.0,0.0,20.0
flemington,3031,VIC,MOONEE PONDS DC,Delivery Area,-37.788375,144.931472,8.0,1.0,20.0
footscray,3011,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.79977,144.89958700000003,11.0,1.0,20.0
forest hill,3131,VIC,NUNAWADING DC,Delivery Area,-37.834099,145.166527,4.0,0.0,20.0
frankston,3199,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.145001,145.122477,6.0,1.0,20.0
frankston north,3200,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.165002,145.188595,1.0,0.0,12.0
frankston south,3199,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.156538,145.123524,3.0,0.0,20.0
gardenvale,3185,VIC,ST KILDA DC,Delivery Area,-37.896915,145.005249,3.0,0.0,8.0
