,place_id,crime_id,average_incident
7505,1,A70,20.8
7506,1,A80,10.3
7507,1,B10,10.7
7508,1,B20,85.1
7509,1,B30,74.3
7510,1,B40,235.0
7511,1,B50,33.1
7512,1,C10,10.7
7513,1,C20,3.7
7514,1,C30,35.4
7515,1,D10,27.2
7516,1,D20,13.8
7517,1,D30,3.2222222222222223
7518,1,E10,17.8
7519,1,E20,68.1
7520,1,F20,2.0
7521,1,F30,1.0
7522,1,F90,21.5
7523,1,Other,22.1
7524,2,A20,125.1
7525,2,A50,7.2
7526,2,A70,20.8
7527,2,A80,10.3
7528,2,B10,10.7
7529,2,B20,85.1
7530,2,B30,74.3
7531,2,B40,235.0
7532,2,B50,33.1
7533,2,C10,10.7
7534,2,C20,3.7
7535,2,C30,35.4
7536,2,D10,27.2
7537,2,D20,13.8
7538,2,D30,3.2222222222222223
7539,2,E10,17.8
7540,2,E20,68.1
7541,2,F20,2.0
7542,2,F30,1.0
7543,2,F90,21.5
7544,2,Other,22.1
7545,0,A20,7.5
7546,0,A50,2.5
7547,0,A70,2.6666666666666665
7548,0,A80,1.75
7549,0,B10,1.5
7550,0,B20,13.9
7551,0,B30,28.2
7552,0,B40,51.2
7553,0,B50,3.2
7554,0,C10,2.0
7555,0,C30,2.2222222222222223
7556,0,D10,1.2857142857142858
7557,0,D20,1.1666666666666667
7558,0,D30,1.2
7559,0,E10,1.5
7560,0,E20,4.375
7561,0,F20,1.0
7562,0,F90,3.0
7563,0,Other,2.6
7564,1,A20,7.5
7565,1,A50,2.5
7566,1,A70,2.6666666666666665
7567,1,A80,1.75
7568,1,B10,1.5
7569,1,B20,13.9
7570,1,B30,28.2
7571,1,B40,51.2
7572,1,B50,3.2
7573,1,C10,2.0
7574,1,C30,2.2222222222222223
7575,1,D10,1.2857142857142858
7576,1,D20,1.1666666666666667
7577,1,D30,1.2
7578,1,E10,1.5
7579,1,E20,4.375
7580,1,F20,1.0
7581,1,F90,3.0
7582,1,Other,2.6
7583,2,A20,7.5
7584,2,A50,2.5
7585,2,A70,2.6666666666666665
7586,2,A80,1.75
7587,2,B10,1.5
7588,2,B20,13.9
7589,2,B30,28.2
7590,2,B40,51.2
7591,2,B50,3.2
7592,2,C10,2.0
7593,2,C30,2.2222222222222223
7594,2,D10,1.2857142857142858
7595,2,D20,1.1666666666666667
7596,2,D30,1.2
7597,2,E10,1.5
7598,2,E20,4.375
7599,2,F20,1.0
7600,2,F90,3.0
7601,2,Other,2.6
7602,0,A20,62.9
7603,0,A50,7.0
7604,0,A70,7.2
7605,0,A80,3.1
7606,0,B10,2.1
7607,0,B20,54.1
7608,0,B30,78.8
7609,0,B40,273.9
7610,0,B50,48.8
7611,0,B60,1.0
7612,0,C10,5.8
7613,0,C20,1.6
7614,0,C30,29.4
7615,0,D10,17.8
7616,0,D20,107.0
7617,0,D30,10.4
7618,0,D40,1.0
7619,0,E10,8.0
7620,0,E20,13.4
7621,0,F20,1.5
7622,0,F30,3.1666666666666665
7623,0,F90,29.0
7624,0,Other,11.8
7625,1,A20,62.9
7626,1,A50,7.0
7627,1,A70,7.2
7628,1,A80,3.1
7629,1,B10,2.1
7630,1,B20,54.1
7631,1,B30,78.8
7632,1,B40,273.9
7633,1,B50,48.8
7634,1,B60,1.0
7635,1,C10,5.8
7636,1,C20,1.6
7637,1,C30,29.4
7638,1,D10,17.8
7639,1,D20,107.0
7640,1,D30,10.4
7641,1,D40,1.0
7642,1,E10,8.0
7643,1,E20,13.4
7644,1,F20,1.5
7645,1,F30,3.1666666666666665
7646,1,F90,29.0
7647,1,Other,11.8
7648,2,A20,62.9
7649,2,A50,7.0
7650,2,A70,7.2
7651,2,A80,3.1
7652,2,B10,2.1
7653,2,B20,54.1
7654,2,B30,78.8
7655,2,B40,273.9
7656,2,B50,48.8
7657,2,B60,1.0
7658,2,C10,5.8
7659,2,C20,1.6
7660,2,C30,29.4
7661,2,D10,17.8
7662,2,D20,107.0
7663,2,D30,10.4
7664,2,D40,1.0
7665,2,E10,8.0
7666,2,E20,13.4
7667,2,F20,1.5
7668,2,F30,3.1666666666666665
7669,2,F90,29.0
7670,2,Other,11.8
7671,0,A20,18.8
7672,0,A50,3.0
7673,0,A70,4.666666666666667
7674,0,A80,1.875
7675,0,B10,1.125
7676,0,B20,22.6
7677,0,B30,29.9
7678,0,B40,64.4
7679,0,B50,6.3
7680,0,C10,3.2
7681,0,C20,2.2
7682,0,C30,6.8
7683,0,D10,4.3
7684,0,D20,7.6
7685,0,D30,1.1428571428571428
7686,0,E10,2.4285714285714284
7687,0,E20,16.1
7688,0,F20,1.25
7689,0,F30,1.0
7690,0,F90,7.5
7691,0,Other,5.7
7692,1,A20,18.8
7693,1,A50,3.0
7694,1,A70,4.666666666666667
7695,1,A80,1.875
7696,1,B10,1.125
7697,1,B20,22.6
7698,1,B30,29.9
7699,1,B40,64.4
7700,1,B50,6.3
7701,1,C10,3.2
7702,1,C20,2.2
7703,1,C30,6.8
7704,1,D10,4.3
7705,1,D20,7.6
7706,1,D30,1.1428571428571428
7707,1,E10,2.4285714285714284
7708,1,E20,16.1
7709,1,F20,1.25
7710,1,F30,1.0
7711,1,F90,7.5
7712,1,Other,5.7
7713,2,A20,18.8
7714,2,A50,3.0
7715,2,A70,4.666666666666667
7716,2,A80,1.875
7717,2,B10,1.125
7718,2,B20,22.6
7719,2,B30,29.9
7720,2,B40,64.4
7721,2,B50,6.3
7722,2,C10,3.2
7723,2,C20,2.2
7724,2,C30,6.8
7725,2,D10,4.3
7726,2,D20,7.6
7727,2,D30,1.1428571428571428
7728,2,E10,2.4285714285714284
7729,2,E20,16.1
7730,2,F20,1.25
7731,2,F30,1.0
7732,2,F90,7.5
7733,2,Other,5.7
7734,0,A20,31.0
7735,0,A50,4.7
7736,0,A70,4.777777777777779
7737,0,A80,1.75
7738,0,B10,1.8
7739,0,B20,53.0
7740,0,B30,73.2
7741,0,B40,228.4
7742,0,B50,45.9
7743,0,B60,1.0
7744,0,C10,3.0
7745,0,C20,2.0
7746,0,C30,13.3
7747,0,C90,1.0
7748,0,D10,10.1
7749,0,D20,24.7
7750,0,D30,2.8571428571428568
7751,0,E10,4.5
7752,0,E20,19.4
7753,0,F20,2.0
7754,0,F30,2.0
7755,0,F90,28.5
7756,0,Other,6.6
7757,1,A20,31.0
